%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1473080251.537846000	1473080251.542148000	0.004302000	1	2	eth:eapol	b0:c5:54:1c:71:85	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	b0:c5:54:1c:71:85_28:b2:bd:c3:41:78_2	DLinkInte,SG_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.004302	0.002151	0.001520987	464.9	51139	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0400000000004000	1473080257.813331000	1473080257.813331000	0.000000000	1	3	eth:ipv4:igmp	b0:c5:54:1c:71:85	01:00:5e:00:00:16	0x0800		192.168.0.20	07	"Private network"	0	224.0.0.22	10	"IGMP"	0	2	0x00	1	b0:c5:54:1c:71:85_01:00:5e:00:00:16_1	DLinkInte,SG_IPv4Multi	0	unknown	1	0	8	0	8	8	8	0	0	0	0	0	0	0	1	1	0x0001	65535	0	1	1	0	0xc0	0x0040	1	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	1	8
A	6	0x0400000000004000	1473080257.982720000	1473080258.006663000	0.023943000	1	3	eth:ipv4:udp	b0:c5:54:1c:71:85	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_2	DLinkInte,SG_Broadcast	67	bootps	2	0	1096	0	548	548	548	0	0	0.02394298	0.01197149	0.00846512	83.53172	45775.38	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	2	1096
A	3	0x0000000000000044	1473080251.673249000	1473080258.482235000	6.808986000	1	2	eth:arp	b0:c5:54:1c:71:85	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_7	DLinkInte,SG_Broadcast	0	unknown	7	0	196	0	28	28	28	0	0	1.791835	0.9727123	0.4081802	1.028053	28.78549	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	8	0x0400000000004000	1473080259.301473000	1473080259.301473000	0.000000000	1	3	eth:ipv4:udp	b0:c5:54:1c:71:85	ff:ff:ff:ff:ff:ff	0x0800		10.10.10.58	04	"Private network"	62976	255.255.255.255	11	"Broadcast"	12345	17	0x00	1	b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_1	DLinkInte,SG_Broadcast	12345	italk	1	0	128	0	128	128	128	0	0	0	0	0	0	0	1	1	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	1	0.25	0.5	48	6645
A	7	0x0400000002004000	1473080258.947242000	1473080259.954828000	1.007586000	1	4	eth:ipv4:udp:ssdp	b0:c5:54:1c:71:85	01:00:5e:7f:ff:fa	0x0800		10.10.10.58	04	"Private network"	3084	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	b0:c5:54:1c:71:85_01:00:5e:7f:ff:fa_12	DLinkInte,SG_IPv4Multi	1900	ssdp	12	0	3339	0	258	302	278.25	15.01032	0	1.00356	0.0839655	0.261494	11.90965	3313.861	1	1	0x0001	0	0	1	1	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	2	0.5	1	48	6645
A	9	0x0400000002004000	1473080260.013622000	1473080260.014576000	0.000954000	1	4	eth:ipv4:udp:ssdp	b0:c5:54:1c:71:85	01:00:5e:7f:ff:fa	0x0800		10.10.10.58	04	"Private network"	2267	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	b0:c5:54:1c:71:85_01:00:5e:7f:ff:fa_3	DLinkInte,SG_IPv4Multi	1900	ssdp	3	0	411	0	137	137	137	0	0	0.000597	0.000318	0.000191227	3144.654	430817.6	1	1	0x0001	0	0	1	1	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1	48	6645
A	4	0x0400000000004000	1473080255.921208000	1473080260.814411000	4.893203000	1	3	eth:ipv4:igmp	b0:c5:54:1c:71:85	01:00:5e:00:00:16	0x0800		10.10.10.58	04	"Private network"	0	224.0.0.22	10	"IGMP"	0	2	0x00	1	b0:c5:54:1c:71:85_01:00:5e:00:00:16_7	DLinkInte,SG_IPv4Multi	0	unknown	7	0	72	0	8	16	10.28571	3.112648	0	2.276423	0.699029	0.6161104	1.430556	14.71429	1	1	0x0001	0	0	1	1	0	0xc0	0x0040	7	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	1	0.3333333	1	48	6645
A	2	0x0400000000004000	1473080251.657680000	1473080275.449725000	23.792045000	1	3	eth:ipv4:udp	b0:c5:54:1c:71:85	01:00:5e:00:00:fb	0x0800		10.10.10.58	04	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	b0:c5:54:1c:71:85_01:00:5e:00:00:fb_15	DLinkInte,SG_IPv4Multi	5353	mdns	15	0	2475	0	111	201	165	40.70227	0	7.999978	1.586136	2.013984	0.6304628	104.0264	1	1	0x0001	0	0	255	255	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	48	6645
A	10	0x0400000000004000	1473080270.301991000	1473080279.302837000	9.000846000	1	3	eth:ipv4:udp	b0:c5:54:1c:71:85	ff:ff:ff:ff:ff:ff	0x0800		10.10.10.58	04	"Private network"	62976	255.255.255.255	11	"Broadcast"	62976	17	0x00	1	b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_10	DLinkInte,SG_Broadcast	62976	unknown	10	0	220	0	22	22	22	0	0	1.002281	0.9000846	0.2344325	1.111007	24.44215	1	1	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	48	6645
