%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000004,1473081198.437034,1473081198.441167,0.004133,1,2,eth:eapol,b0:c5:54:1c:71:85,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,b0:c5:54:1c:71:85_28:b2:bd:c3:41:78_2,"DLinkInte,SG_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.004133,0.0020665,0.001461236,483.91,53230.1,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,5,0x0400000000004000,1473081204.623784,1473081204.623784,0.0,1,3,eth:ipv4:igmp,b0:c5:54:1c:71:85,01:00:5e:00:00:16,0x0800,,192.168.0.20,07,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,b0:c5:54:1c:71:85_01:00:5e:00:00:16_1,"DLinkInte,SG_IPv4Multi",0,unknown,1,0,8,0,8,8,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0001,65535,0,1,1,0,0xc0,0x0040,1,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5,1.0,2,119
A,6,0x0400000000004000,1473081204.789169,1473081204.817153,0.027984,1,3,eth:ipv4:udp,b0:c5:54:1c:71:85,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_2,"DLinkInte,SG_Broadcast",67,bootps,2,0,1096,0,548,548,548.0,0.0,0,0.027984,0.013992,0.009893838,71.46941,39165.23,1,1,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,1096
A,7,0x0400000000004000,1473081204.874359,1473081204.874359,0.0,1,3,eth:ipv4:udp,b0:c5:54:1c:71:85,01:00:5e:00:00:fb,0x0800,,192.168.0.20,07,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,b0:c5:54:1c:71:85_01:00:5e:00:00:fb_1,"DLinkInte,SG_IPv4Multi",5353,mdns,1,0,111,0,111,111,111.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0001,65535,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,119
A,9,0x0400000000004000,1473081206.093983,1473081206.093983,0.0,1,3,eth:ipv4:udp,b0:c5:54:1c:71:85,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.58,04,Private network,62976,255.255.255.255,11,Broadcast,12345,17,0x00,1,b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_1,"DLinkInte,SG_Broadcast",12345,italk,1,0,128,0,128,128,128.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,1,0.25,0.5,48,6645
A,8,0x0400000002004000,1473081205.741945,1473081206.749396,1.007451,1,4,eth:ipv4:udp:ssdp,b0:c5:54:1c:71:85,01:00:5e:7f:ff:fa,0x0800,,10.10.10.58,04,Private network,3082,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,b0:c5:54:1c:71:85_01:00:5e:7f:ff:fa_12,"DLinkInte,SG_IPv4Multi",1900,ssdp,12,0,3339,0,258,302,278.25,15.01032,0,1.003402,0.08395425,0.2614522,11.91125,3314.305,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1.0,48,6645
A,10,0x0400000002004000,1473081206.76008,1473081206.761089,0.001009,1,4,eth:ipv4:udp:ssdp,b0:c5:54:1c:71:85,01:00:5e:7f:ff:fa,0x0800,,10.10.10.58,04,Private network,2267,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,b0:c5:54:1c:71:85_01:00:5e:7f:ff:fa_3,"DLinkInte,SG_IPv4Multi",1900,ssdp,3,0,411,0,137,137,137.0,0.0,0,0.000594,0.0003363333,0.0001773861,2973.241,407334.0,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,1,1,0.25,1.0,48,6645
A,4,0x0400000000004000,1473081204.103697,1473081206.799698,2.696001,1,3,eth:ipv4:igmp,b0:c5:54:1c:71:85,01:00:5e:00:00:16,0x0800,,10.10.10.58,04,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,b0:c5:54:1c:71:85_01:00:5e:00:00:16_7,"DLinkInte,SG_IPv4Multi",0,unknown,7,0,72,0,8,16,10.28571,3.112648,0,0.90816,0.385143,0.2608221,2.596438,26.70622,1,1,0x0001,0,0,1,1,0,0xc0,0x0040,7,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,1,1,0.3333333,1.0,48,6645
A,3,0x0000000000000044,1473081198.51881,1473081207.160765,8.641955,1,2,eth:arp,b0:c5:54:1c:71:85,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,b0:c5:54:1c:71:85_ff:ff:ff:ff:ff:ff_7,"DLinkInte,SG_Broadcast",0,unknown,7,0,196,0,28,28,28.0,0.0,0,3.619665,1.234565,0.9399127,0.8100019,22.68005,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1473081198.505792,1473081222.220146,23.714354,1,3,eth:ipv4:udp,b0:c5:54:1c:71:85,01:00:5e:00:00:fb,0x0800,,10.10.10.58,04,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,b0:c5:54:1c:71:85_01:00:5e:00:00:fb_15,"DLinkInte,SG_IPv4Multi",5353,mdns,15,0,2475,0,111,201,165.0,40.70227,0,8.004064,1.580957,2.016902,0.6325283,104.3672,1,1,0x0001,0,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1.0,48,6645
